library,file,ops/sec,filesize
markdown-wasm,samples\inline-em-worst.md,325728.9429878524,178
markdown-wasm-rs,samples\inline-em-worst.md,872529.0554801502,178
commonmark,samples\inline-entity.md,45519.517716466944,339
showdown,samples\inline-entity.md,12508.365535326895,339
marked,samples\inline-entity.md,75976.41442371903,339
markdown-it,samples\inline-entity.md,71077.21174188971,339
markdown-wasm,samples\inline-entity.md,299664.5381981783,339
markdown-wasm-rs,samples\inline-entity.md,503451.76236589823,339
commonmark,samples\inline-escape.md,34043.71572390497,200
showdown,samples\inline-escape.md,12142.24753061101,200
marked,samples\inline-escape.md,32561.372866849608,200
markdown-it,samples\inline-escape.md,81154.62340553051,200
markdown-wasm,samples\inline-escape.md,290182.0855701336,200
markdown-wasm-rs,samples\inline-escape.md,550599.2216317973,200
commonmark,samples\inline-html.md,17323.1620488781,560
showdown,samples\inline-html.md,4264.597768530948,560
marked,samples\inline-html.md,27442.636354338483,560
markdown-it,samples\inline-html.md,25460.608142136658,560
markdown-wasm,samples\inline-html.md,126943.26735252724,560
markdown-wasm-rs,samples\inline-html.md,193280.72692708633,560
commonmark,samples\inline-links-flat.md,18663.7371052795,753
showdown,samples\inline-links-flat.md,5990.307718626433,753
marked,samples\inline-links-flat.md,22266.149704978012,753
markdown-it,samples\inline-links-flat.md,27007.20676525635,753
markdown-wasm,samples\inline-links-flat.md,88305.1329339707,753
markdown-wasm-rs,samples\inline-links-flat.md,264319.2212945652,753
commonmark,samples\inline-links-nested.md,23776.062118443704,326
showdown,samples\inline-links-nested.md,7945.246423781664,326
marked,samples\inline-links-nested.md,12510.473916384803,326
markdown-it,samples\inline-links-nested.md,8285.075074611219,326
markdown-wasm,samples\inline-links-nested.md,87743.97306186536,326
markdown-wasm-rs,samples\inline-links-nested.md,446434.35435785085,326
commonmark,samples\inline-newlines.md,65922.80584870363,164
showdown,samples\inline-newlines.md,16708.11071485272,164
marked,samples\inline-newlines.md,68093.0796618413,164
markdown-it,samples\inline-newlines.md,93561.71419697077,164
markdown-wasm,samples\inline-newlines.md,390429.83395199623,164
markdown-wasm-rs,samples\inline-newlines.md,492852.1755544939,164
commonmark,samples\lorem1.md,41758.16906929764,3802
showdown,samples\lorem1.md,2246.555436489227,3802
marked,samples\lorem1.md,14668.245006334466,3802
markdown-it,samples\lorem1.md,29341.373505659478,3802
markdown-wasm,samples\lorem1.md,76550.69407575649,3802
markdown-wasm-rs,samples\lorem1.md,108421.34861017398,3802
commonmark,samples\rawtabs.md,82514.23691809234,313
showdown,samples\rawtabs.md,8754.748869402067,313
marked,samples\rawtabs.md,88103.59770240607,313
markdown-it,samples\rawtabs.md,143821.88009270703,313
markdown-wasm,samples\rawtabs.md,383342.8595504141,313
markdown-wasm-rs,samples\rawtabs.md,362803.41633626533,313
commonmark,samples\README.md,2775.772565251318,10682
showdown,samples\README.md,416.0539846610022,10682
marked,samples\README.md,2328.1881829439376,10682
markdown-it,samples\README.md,3739.309453119096,10682
markdown-wasm,samples\README.md,14152.987225290204,10682
markdown-wasm-rs,samples\README.md,19405.475175127824,10682
commonmark,samples\spec.md,117.10143570689114,212537
showdown,samples\spec.md,5.791660380937012,212537
marked,samples\spec.md,123.95273237166961,212537
markdown-it,samples\spec.md,158.67909260778424,212537
markdown-wasm,samples\spec.md,633.0269819842664,212537
markdown-wasm-rs,samples\spec.md,581.6410180135866,212537
